infobox_type	proposed_category	count	was_included	include_in_future
international_handball_competition	other	1003	0	0
nba_season	other	1002	0	0
port	place	999	1	0
southeast_asian_games_event	other	996	0	0
college_football_game	place	995	0	0
sports_award	other	994	0	0
pro_wrestling_championship	other	993	0	0
fraternity	other	992	0	0
rocket/stage	artifact	988	0	0
place_symbols	other	988	1	0
playboy_playmate	person	987	1	1
animanga/other	other	984	0	0
jewish_leader	person	976	1	0
animanga/game	other	971	0	0
ecoregion	other	969	0	0
nobility_title	other	967	1	0
valley	place	963	1	0
boxing_match	other	963	0	0
weather_event/jtwc	event	963	0	0
sport_tournament	other	962	1	0
ncaa_baseball_conference_tournament	other	962	0	0
international_hockey_competition	other	955	0	0
artifact	artifact	954	1	0
baseball_team	other	953	0	0
cycling_team	other	951	1	0
frazione	other	950	1	0
os	other	949	0	0
uk_constituency	pol_mil_organization	939	1	0
organisation	pol_mil_organization	936	1	0
animal	other	936	1	0
camera	artifact	934	0	0
australian_road	place	933	0	0
wildfire	event	932	0	0
golf_facility	other	927	1	0
athletics_race	other	926	1	0
historic_subdivision	other	925	1	0
feature_on_celestial_object	other	922	0	0
table_tennis_player	other	922	1	0
cave	place	912	0	0
youtuber	person	910	1	0
convention	other	904	0	0
police_officer	person	900	1	0
squash_player	person	900	1	0
f1_driver	person	899	1	1
fiba_tourney	other	899	0	0
handball_club	other	897	0	0
video_game_series	artifact	894	0	0
canadian_football_league_biography	person	888	1	1
roller_coaster	other	887	0	0
motorsport_venue	place	886	0	0
chess_biography	person	885	1	1
actor	person	885	1	1
ski_area	other	882	1	0
horse_race	other	877	0	0
public_transit_accident	event	874	0	0
order	other	856	0	0
weather_event/nws	event	852	0	0
militant_organization	pol_mil_organization	847	1	0
london_station	place	847	0	0
grand_prix_motorcycle_race_report	artifact	840	0	0
song_contest_entry	other	835	0	0
dancer	person	833	1	0
rugby_league_team_season	other	830	0	0
	other	826	1	1
astronaut	person	823	1	0
kommune	other	820	1	0
broadcasting_network	other	809	0	0
australian_football_club	other	801	1	0
rpg	other	798	0	0
simpsons_episode	other	798	0	0
podcast	other	796	1	0
college_athletics	place	795	0	0
historical_event	event	793	1	1
sports_draft	other	792	0	0
australian_rules_football_season	other	787	0	0
hockey_team	other	783	0	0
