infobox_type	proposed_category	count	was_included	include_in_future
coa_wide	other	128	1	0
grand_prix_motorcycle_race_report	artifact	128	0	0
volleyball_club	other	127	0	0
forest	other	127	0	0
government_budget	pol_mil_organization	127	0	0
roller_coaster	other	126	0	0
gaelic_athletic_association_player	person	126	0	0
rowing_club	other	126	0	0
presenter	person	125	1	0
engineer	person	125	0	0
basketball_game	other	125	0	0
convention	other	125	0	0
tennis_tournament_year	other	124	0	0
korean_name	other	124	1	0
spring	other	124	0	0
youtube_personality	other	123	1	0
cricket_ground	other	122	0	0
simpsons_episode	other	122	0	0
amusement_park	place	122	0	0
drink	other	122	0	0
animanga/game	other	120	0	0
afl_club_season	other	119	0	0
election_campaign	event	119	1	0
parapan_american_games_event	other	119	0	0
ncaa_softball_conference_tournament	other	118	0	0
cycling_team_season	other	118	0	0
film_or_theatre_festival	other	117	0	0
animanga/other	other	117	0	0
wrestling_team	other	117	0	0
rocket/payload	artifact	116	0	0
fiba_tourney	other	116	0	0
archaeological_culture	place	114	0	0
soldier	person	113	1	0
mountain_range	place	113	0	0
astronaut	person	112	1	0
song_contest	other	111	0	0
storm	event	111	0	0
ncaa_conference_tournament	other	110	0	0
graphic_novel	artifact	109	0	0
station/header_gr	place	108	0	0
grapheme	other	108	0	0
squash_championship	other	108	0	0
factory	other	107	1	0
sport_overview	other	107	0	0
battle	event	107	1	1
sumo_wrestler	person	106	1	0
outbreak	event	106	0	0
wine_region	place	106	0	0
ski_area	other	106	1	0
biography	person	105	1	1
video_game_series	artifact	105	0	0
wrestling_ppv_series	other	104	0	0
ncaa_tournament_yearly	other	104	0	0
college	place	103	0	0
aero_engine	artifact	103	0	0
nonhuman_protein	other	102	0	0
video_game_player	person	102	1	0
spaceflight/ip	other	101	0	0
streamer	person	101	1	0
ncaa_ice_hockey_season	other	101	0	0
shogi_professional	other	100	0	0
basketball_league	other	100	0	0
language_family	concepts	100	0	0
motor_racing_team	other	100	0	0
bishop_styles	person	100	1	0
uk_constituency_main	pol_mil_organization	100	0	0
rugby_world_sevens	other	99	0	0
anthem	other	99	0	0
un_resolution	other	99	0	0
scotland_ward	other	99	0	0
national_volleyball_team	other	98	0	0
swimming_meet	other	98	0	0
noble_house	person	98	1	0
comics_character	other	98	0	0
card_game	other	97	0	0
electric_vehicle	other	97	0	0
college_ice_hockey_team	place	96	0	0
product	other	96	0	0
manuscript	other	96	0	0
organization/wikidata	pol_mil_organization	95	0	0
german_location	place	94	0	0
dance	other	94	0	0
computing_device	other	94	0	0
national_futsal_team	other	94	0	0
rugby_football_league_season	other	93	0	0
universiade_event	other	92	0	0
	other	90	1	0
folk_tale	other	90	0	0
os	other	90	0	0
classical_composer	person	90	0	0
census	other	90	0	0
us_supreme_court_case	other	90	1	0
orchestra	other	89	0	0
rugby_league_club	other	89	0	0
oil_field	other	89	0	0
pool_player	person	88	0	0
soccer_club_season	other	88	0	0
basketball_final_four	other	87	0	0
murderer	person	87	1	1
gaa_match	other	87	0	0
religion	concepts	86	0	0
biathlete	person	86	0	0
hockey_tournament_season	other	86	0	0
comics_story_arc	other	85	0	0
v8_supercar_race_report	other	85	0	0
geographical_indication	other	85	0	0
winter_storm_small	event	84	0	0
ncaa_division_i_men's_basketball_season	other	84	0	0
national_field_hockey_team	other	83	0	0
military_memorial	other	82	0	0
instrument	other	82	0	0
weather_event/tornado_outbreak	event	82	0	0
youtube_channel	other	81	1	0
field_hockey_club	other	81	0	0
gridiron_football_team_season	other	81	0	0
national_handball_team	other	81	0	0
australian_football_club	other	80	0	0
fia_formula_2_race_report	other	80	0	0
archives	other	80	0	0
tournament_season	other	80	0	0
artist_list	person	79	0	0
theatre	other	79	0	0
soap_character_2	other	79	0	0
canal	place	78	0	0
rocket	artifact	78	0	0
coin	artifact	78	0	0
motorcycle_speedway_team	artifact	78	0	0
radar	artifact	77	0	0
royal_styles	other	77	1	0
scientist/wikidata	person	77	0	0
wrc_driver	other	76	0	0
boxer_(amateur)	person	75	1	0
bishop	person	75	0	0
time_zone_country	pol_mil_organization	75	0	0
gp3_round_report	other	75	0	0
mep	other	74	0	0
